Data;Prec;Temp;Umidade;VentoRaj;Coluna1
2015-01-01;0;24,470833;82,416667;14,7;
2015-01-02;70,2;21,008333;68,541667;14,8;
2015-01-03;0;20,745833;60,5;6,8;
2015-01-04;0;23,083333;65,875;10,4;
2015-01-05;0;24,383333;71,875;10,4;
2015-01-06;0;25,975;75,958333;12,6;
2015-01-07;22,4;24,345833;84,583333;16,1;
2015-01-08;16,6;24,25;82,208333;6,5;
2015-01-09;,2;25,6875;79,958333;9,3;
2015-01-10;,6;26,745833;73,25;6,3;
2015-01-11;0;27,816667;71,666667;7;
2015-01-12;5,6;26,558333;73,541667;8,8;
2015-01-13;0;26,229167;74,916667;18,5;
2015-01-14;29,8;24,5875;80,541667;12,6;
2015-01-15;0;23,975;69,25;10,6;
2015-01-16;0;24,058333;74,583333;9,3;
2015-01-17;8,6;24,9625;76,833333;13;
2015-01-18;0;23,870833;70,791667;6,6;
2015-01-19;0;26,254167;72,875;20,6;
2015-01-20;6;23,1625;79,166667;12,8;
2015-01-21;13;23,058333;58,541667;9,6;
2015-01-22;0;23,3;56,695652;12;
2015-01-23;0;23,566667;61,25;12,6;
2015-01-24;0;24,483333;66,166667;10,7;
2015-01-25;0;25,516667;73,75;7;
2015-01-26;0;24,666667;76,541667;7,4;
2015-01-27;0;;77,75;10,7;
2015-01-28;;;74,538462;16,1;
2015-01-29;;;62,785714;13,7;
2015-01-30;;;53,615385;8,7;
2015-01-31;;;;10,7;
2015-02-01;;;;13,5;
2015-02-02;;;76,142857;10,8;
2015-02-03;;;;14,5;
2015-02-04;;;;14;
2015-02-05;;;;11,3;
2015-02-06;;;;8,2;
2015-02-07;;;;10,6;
2015-02-08;;;;6,5;
2015-02-09;;;;7,8;
2015-02-10;;;;6,3;
2015-02-11;;;;;
2015-02-12;;;;6,3;
2015-02-13;;;;9,9;
2015-02-14;;;;9;
2015-02-15;;;59,769231;12,6;
2015-02-16;;;;9,1;
2015-02-17;;;58,428571;9,6;
2015-02-18;;;69,428571;12,6;
2015-02-19;;;;11,1;
2015-02-20;;;;8,6;
2015-02-21;;;66,846154;8,3;
2015-02-22;;;77,4;10,4;
2015-02-23;;;78,111111;8,4;
2015-02-24;;;;8,1;
2015-02-25;;;;7,5;
2015-02-26;;;75,583333;10,7;
2015-02-27;;;;12,3;
2015-02-28;;;;8,9;
2015-03-01;;;;13;
2015-03-02;;;;10,5;
2015-03-03;;;;7,7;
2015-03-04;;;;6,9;
2015-03-05;;;;8,5;
2015-03-06;;;;6,9;
2015-03-07;;;;10,2;
2015-03-08;;;;11,6;
2015-03-09;;;;9,3;
2015-03-10;;;;9,5;
2015-03-11;;;;8,4;
2015-03-12;;;;8,3;
2015-03-13;;;;8,3;
2015-03-14;;;;8;
2015-03-15;;;;7,7;
2015-03-16;;;;8,1;
2015-03-17;;;;6,8;
2015-03-18;;;;10,5;
2015-03-19;;;;11;
2015-03-20;;;;7,4;
2015-03-21;;;;12,1;
2015-03-22;;;;9,7;
2015-03-23;;;;6,8;
2015-03-24;;;;9,2;
2015-03-25;;;;8,7;
2015-03-26;;;;11,1;
2015-03-27;;;;9;
2015-03-28;;;;8,3;
2015-03-29;;;;11,8;
2015-03-30;;;;;
2015-03-31;;;;9,4;
2015-04-01;;;;5,2;
2015-04-02;;;58,333333;6,9;
2015-04-03;;;64,153846;8,8;
2015-04-04;;;68,384615;6,9;
2015-04-05;;;72,928571;13,7;
2015-04-06;0;21,004167;54,5;12,8;
2015-04-07;0;18,154167;65,083333;6,9;
2015-04-08;0;20,3125;64,5;9,5;
2015-04-09;0;21,495833;73,791667;7,3;
2015-04-10;,2;21,3875;74,208333;6,6;
2015-04-11;0;22,175;75,833333;9,5;
2015-04-12;0;20,370833;64,291667;6,2;
2015-04-13;0;19,5875;64,666667;9,7;
2015-04-14;0;22,216667;75,125;9;
2015-04-15;0;22,395833;80,291667;12,5;
2015-04-16;1;21,741667;70,333333;12,4;
2015-04-17;0;22,475;74,25;15,1;
2015-04-18;,6;18,908333;69,125;11,3;
2015-04-19;0;18,9375;70,416667;9;
2015-04-20;0;22,241667;78,791667;8,3;
2015-04-21;;;58,823529;10,7;
2015-04-22;0;;57,473684;6,6;
2015-04-23;;16,575;76,458333;6,7;
2015-04-24;2;18,741667;82,125;8,8;
2015-04-25;,4;17,166667;69,458333;6;
2015-04-26;0;18,154167;65,5;6;
2015-04-27;,2;18,054167;79,25;5,6;
2015-04-28;,2;17,504167;78,208333;8,3;
2015-04-29;0;19,133333;52,625;12,2;
2015-04-30;0;18,691667;61;10,5;
2015-05-01;,2;18,558333;74,208333;10,8;
2015-05-02;0;19,179167;81,125;19,3;
2015-05-03;8,2;16,354167;79,791667;25,8;
2015-05-04;0;12,6;60,791667;11,6;
2015-05-05;0;11,816667;66,75;5,2;
2015-05-06;,2;13,195833;70,666667;11,4;
2015-05-07;0;12,329167;71,416667;10,2;
2015-05-08;0;15,75;64,875;10,6;
