Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.6025
Longitude: -48.61999999
Altitude: 4.87
Situacao: Operante
Data Inicial: 2013-12-01
Data Final: 2024-11-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-12-01;0;23.8;21.1;19.5;80.2;.9;0;
2013-12-02;1;28.6;23.2;20.1;82.5;8.6;.1;
2013-12-03;18;31.9;24.7;19.5;76.1;12.6;.8;
2013-12-04;0;29;24.2;20.8;71;12.1;1.4;
2013-12-05;3.8;25.3;22.9;23;84.4;15;.6;
2013-12-06;30.8;25;22.3;18.8;64.9;13.7;.7;
2013-12-07;0;25.1;22;19.5;77.5;7.9;.2;
2013-12-08;.4;25.6;23.2;20.7;86;8.5;.3;
2013-12-09;2.2;28.3;25;23.1;83.3;10;.9;
2013-12-10;11.2;28;24.5;21.7;83.2;11.3;1.9;
2013-12-11;2.2;23.2;21.6;20.6;83.4;12.2;2.8;
2013-12-12;1;24.4;21.3;17.4;66.2;6.7;.1;
2013-12-13;0;26.5;22.6;19.3;65.9;11.1;.8;
2013-12-14;.2;27.5;23.8;21.5;76.1;10.6;.6;
2013-12-15;1;28.5;24.8;22.3;76.7;9.4;.5;
2013-12-16;0;29.7;24.8;21.2;75.8;6.8;.3;
2013-12-17;0;27.6;24.6;22.5;66.5;7.8;.3;
2013-12-18;.2;29.2;24.1;20.7;76.8;6.7;0;
2013-12-19;0;29;25;21.3;75.1;8.3;.2;
2013-12-20;0;28.3;25.1;22.3;76.7;9.8;.8;
2013-12-21;1.4;27.2;24.5;21.9;78.2;10.1;1.6;
2013-12-22;.2;26.6;23.7;22;81.3;11;1.6;
2013-12-23;4.4;27.6;24.4;22.3;80.2;11.3;2.5;
2013-12-24;.2;28.3;25.1;22.5;79.4;10.7;1.5;
2013-12-25;0;29.2;25.6;22;79.4;7.4;.3;
2013-12-26;0;32.9;27.4;23;74;7.1;.1;
2013-12-27;0;34.1;28;24.2;73.5;9.8;.5;
2013-12-28;1.2;31.5;27.1;22.5;73.7;7.2;0;
2013-12-29;0;33;27.7;23.8;74.2;9.8;.5;
2013-12-30;0;32.4;27.9;26.1;75.6;10.6;.3;
2013-12-31;5.6;36.7;28;24.1;77.5;9.8;.3;
2014-01-01;10.8;30.9;26.5;25.1;85.2;7.3;0;
2014-01-02;14.6;32.2;27.2;23.8;82.1;10.3;.7;
2014-01-03;.2;33.5;26.7;26.4;80.5;13.1;2.1;
2014-01-04;31.4;23.3;20.8;19.4;84.9;13.9;2;
2014-01-05;6;25.9;22;18.9;80.7;7.8;.2;
2014-01-06;0;29.7;24.3;20.5;82.1;6.6;.1;
2014-01-07;2;29.4;25.6;23;80.6;9.9;.7;
2014-01-08;0;30.4;26.1;24.6;80.4;13.2;.7;
2014-01-09;44.6;29.4;25.1;21.5;82.8;8.5;.2;
2014-01-10;0;32.5;27.3;24;78;10.5;.5;
2014-01-11;4.6;32.9;26.9;22.3;74.5;9.4;1.2;
2014-01-12;30.4;28.4;24.1;21.5;83;11.9;.3;
2014-01-13;3.4;30;24.9;22.2;83.3;9.8;.5;
2014-01-14;5;30.4;25.8;22;73.7;7.2;.1;
2014-01-15;.6;33.1;25.2;22.5;77.4;14.9;.5;
2014-01-16;18.2;28.6;23.8;20.6;81.3;7.1;0;
2014-01-17;0;30.8;25.1;19.9;74.5;7.8;.2;
2014-01-18;0;31.5;26;21;68.8;8.1;.4;
2014-01-19;0;31.8;26.5;21.6;70.9;9.1;.4;
2014-01-20;0;31;26.6;22.5;70.3;10.5;.6;
2014-01-21;0;30.8;26.1;21.4;70.2;12.2;.7;
